id	filename	md5	size	state
a305afd9-b051-42d0-b8f8-8f82ae0bbb3a	TCGA-E9-A1N9-11A-05-TSE.cfe9c6a5-0a91-49f6-a361-a74441d9a188.svs	0e2c014283ecac59af068c77a1b4de81	51487321	released
aa5ba6ad-9af1-4a75-8992-10999e69850c	TCGA-E9-A1N9-11A-07-TSG.891564a7-f2bd-4994-9a09-13db48596a93.svs	aec38ad1818ec1f6753572f7329ce613	79181193	released
ca33baac-2301-4ee6-9bdc-3f4c16ce72de	TCGA-E9-A1N9-11A-06-TSF.b5735423-f834-4dc4-839e-5ef558af32c2.svs	269c3944d631319faa4303de6a804044	40829663	released
10eb373a-c792-421d-a756-bec81150eac2	TCGA-BH-A0HK-11A-01-TSA.212cfdb9-69cc-41ef-8583-1d0da12d73e5.svs	e9132b87d8c9ec27ae58be3cc087ffdc	81204439	released
d8c6f61d-46cd-4238-b713-8889ab41f751	TCGA-E9-A1NE-11A-04-TSD.b5b0310e-3708-429e-889e-93fa599ad095.svs	54c54c91f6328697fab8c78010868e9b	31169237	released
87bff729-0dbe-4c0f-bf18-55365f95d9cf	TCGA-E9-A1N8-11A-03-TSC.d9850ced-410d-4dec-b4f0-a3a7dfdf229d.svs	ba4322a097a9feb600d6d697a717a085	59683221	released
3ae196f3-5ec6-45e0-9a49-f4ddf0cd4ab6	TCGA-E9-A1N8-11A-02-TSB.0f6b095b-7126-4be3-b02a-9ebcf9231a6a.svs	fae4fb7e611054e9521d394eb366ba5e	119001015	released
e2ce5758-6c87-4bfd-b89b-d391b67e8dc2	TCGA-E9-A1N8-11A-04-TSD.1d4be0fe-46ad-45a4-a03a-d5c1712d90ca.svs	35bc722365faf168f4cac716ffd3b36d	55671471	released
eb9d0739-5625-4760-a7ff-1562cd63aa5f	TCGA-E9-A1N8-11A-01-TSA.01c3b247-8b3b-4466-9641-4146fbba4f51.svs	35be2e97c42d212dc629c9dafe7fdf95	75820039	released
8d09144e-ece2-4fec-8960-9c95caa207db	TCGA-AC-A3EH-11B-02-TSB.4E503E81-1059-45C3-A942-8E47100943C4.svs	681719235bf9e4f4f4630ee3a9243301	38971383	released
a8d9b63f-f3b6-4fe0-bdee-c6086b73dabe	TCGA-AC-A2FM-11B-01-TS1.DEFA6432-60A4-4DDA-A3DA-3AF61B937CAB.svs	1202b6c971980f998f5b7655e746bf30	69254895	released
89288e83-cff5-4b7e-9ed3-53dac741c7a1	TCGA-AC-A2FE-11B-01-TS1.A12C5B3D-5053-4293-9E46-8D7B0712E4D9.svs	a45fd50c9e5204bc2f3818e291704459	38533857	released
da8ab008-5d6a-4ee4-8ac2-d47fddc77bd1	TCGA-E2-A1LG-11A-04-TSD.4092d9f5-3951-4590-9def-81ba1380239f.svs	63fc255dc2f3c150aae0726a2caa2520	50144911	released
df1ec5b2-f0ce-48e7-a5e0-a32a27bb6e15	TCGA-BH-A18M-11A-01-TSA.dcb6f292-963d-4b61-94c3-1bdfde3076ec.svs	dbe4115b0bb4b3fa69befde1822823b8	63355539	released
b0b7de0c-f12e-448a-aa27-7c9377058d93	TCGA-E2-A158-11A-02-TS2.97f08d10-8897-4a8b-8c35-7eaaaf0a3049.svs	816000a97139c7660a7714026bb7efc1	94062765	released
45d61615-0285-4378-8a0d-bcc201d97b73	TCGA-BH-A18T-11A-03-TSC.d3f9de03-d669-4dfd-a7a1-60ad0ab6fde3.svs	17e76926718e2639de1256a052519be4	42763917	released
3eb498be-c7ff-4a0a-99af-0f1216bc906f	TCGA-BH-A209-11A-04-TSD.02f3457d-30fd-4210-8a46-e8c4954282e5.svs	a2891d4610560eb32f6e855292bee7d7	50642165	released
9ee1203d-29d2-40a5-9d19-9ab82d2d398b	TCGA-E9-A1RI-11A-03-TSC.0444d86a-fee3-439b-8ad5-a5a15195a018.svs	ddffcbe48ebecbe0a7e9f148a00e89da	73619887	released
a99e233c-d643-4747-90a1-23b5ab90a208	TCGA-BH-A1F6-11B-08-TSH.14b9db20-ee53-460d-a687-95b758533d82.svs	0d3b2833e5802966511b87650937a8a8	74837689	released
