patch_id,num_cells,mean_cell_area,cell_density,cell_types
patch_patient_051_node_2_x_29760_y_14880.png,180,445.1222222222222,0.0006866455078125,{'generic_cell': 180}
patch_patient_092_node_1_x_33536_y_17568.png,158,454.19620253164555,0.00060272216796875,{'generic_cell': 158}
patch_patient_096_node_0_x_34752_y_11840.png,57,631.2631578947369,0.000217437744140625,{'generic_cell': 57}
patch_patient_081_node_4_x_10272_y_6848.png,36,572.8888888888889,0.0001373291015625,{'generic_cell': 36}
patch_patient_052_node_1_x_22464_y_6976.png,194,462.55670103092785,0.00074005126953125,{'generic_cell': 194}
patch_patient_060_node_3_x_19872_y_27232.png,225,787.6933333333334,0.000858306884765625,{'generic_cell': 225}
patch_patient_062_node_2_x_16128_y_38112.png,13,779.4615384615385,4.9591064453125e-05,{'generic_cell': 13}
patch_patient_075_node_4_x_9184_y_13696.png,209,777.3684210526316,0.000797271728515625,{'generic_cell': 209}
patch_patient_073_node_1_x_3392_y_40864.png,20,733.05,7.62939453125e-05,{'generic_cell': 20}
patch_patient_051_node_2_x_29216_y_13760.png,35,520.4857142857143,0.000133514404296875,{'generic_cell': 35}
patch_patient_073_node_1_x_19264_y_17504.png,75,665.9866666666667,0.000286102294921875,{'generic_cell': 75}
patch_patient_051_node_2_x_25312_y_10720.png,97,552.5670103092783,0.000370025634765625,{'generic_cell': 97}
patch_patient_052_node_1_x_22112_y_9536.png,102,502.7352941176471,0.00038909912109375,{'generic_cell': 102}
patch_patient_020_node_4_x_14720_y_30656.png,202,869.3712871287129,0.00077056884765625,{'generic_cell': 202}
patch_patient_096_node_0_x_22560_y_12448.png,37,444.8378378378378,0.000141143798828125,{'generic_cell': 37}
patch_patient_081_node_4_x_8032_y_3808.png,164,540.0121951219512,0.0006256103515625,{'generic_cell': 164}
patch_patient_092_node_1_x_25600_y_5728.png,144,588.8194444444445,0.00054931640625,{'generic_cell': 144}
